iter	Passed	Remaining
434	1596	2073
435	1599	2069
436	1603	2065
437	1606	2061
438	1609	2057
439	1612	2052
440	1616	2048
441	1619	2044
442	1622	2040
443	1626	2036
444	1629	2032
445	1632	2027
446	1635	2023
447	1638	2019
448	1641	2014
449	1645	2010
450	1648	2006
451	1651	2002
452	1654	1998
453	1658	1994
454	1661	1989
455	1664	1985
456	1667	1981
457	1670	1976
458	1673	1972
459	1676	1968
460	1680	1964
461	1683	1960
462	1686	1956
463	1689	1952
464	1693	1947
465	1696	1943
466	1699	1939
467	1702	1935
468	1705	1930
469	1708	1926
470	1711	1922
471	1714	1918
472	1717	1913
473	1720	1909
474	1724	1905
475	1727	1901
476	1730	1897
477	1733	1893
478	1736	1888
479	1739	1884
480	1743	1880
481	1746	1876
482	1749	1872
483	1752	1868
484	1755	1863
485	1758	1859
486	1761	1855
487	1764	1851
488	1768	1847
489	1771	1844
490	1775	1840
491	1778	1836
492	1781	1832
493	1784	1828
494	1788	1824
495	1791	1820
496	1795	1817
497	1798	1813
498	1802	1809
499	1805	1805
500	1808	1801
501	1812	1798
502	1815	1794
503	1819	1790
504	1822	1786
505	1825	1782
506	1829	1778
507	1832	1774
508	1835	1770
509	1838	1766
510	1841	1762
511	1844	1758
512	1848	1754
513	1851	1750
514	1854	1746
515	1857	1742
516	1861	1738
517	1864	1735
518	1867	1731
519	1871	1727
520	1874	1723
521	1877	1719
522	1881	1716
523	1885	1712
524	1889	1709
525	1893	1706
526	1897	1703
527	1901	1699
528	1905	1696
529	1908	1692
530	1912	1689
531	1916	1685
532	1920	1682
533	1923	1678
534	1927	1675
535	1931	1671
536	1936	1669
537	1939	1665
538	1943	1662
539	1947	1658
540	1950	1655
541	1954	1651
542	1958	1648
543	1962	1644
544	1966	1641
545	1970	1638
546	1974	1634
547	1977	1631
548	1981	1627
549	1984	1623
550	1988	1620
551	1991	1616
552	1995	1612
553	1998	1609
554	2002	1605
555	2005	1601
556	2009	1598
557	2012	1594
558	2016	1590
559	2020	1587
560	2023	1583
561	2027	1580
562	2031	1576
563	2035	1573
564	2039	1569
565	2043	1566
566	2046	1563
567	2050	1559
568	2054	1556
569	2058	1553
570	2062	1549
571	2065	1545
572	2069	1542
573	2072	1538
574	2076	1534
575	2079	1530
576	2082	1526
577	2086	1523
578	2089	1519
579	2093	1515
580	2097	1512
581	2101	1509
582	2104	1505
583	2108	1502
584	2113	1499
585	2116	1495
586	2120	1492
587	2124	1488
588	2128	1485
589	2132	1481
590	2136	1478
591	2140	1475
592	2144	1471
593	2148	1468
594	2153	1465
595	2157	1462
596	2160	1458
597	2164	1455
598	2168	1451
599	2172	1448
600	2176	1444
601	2180	1441
602	2184	1437
603	2187	1434
604	2191	1430
605	2195	1427
606	2199	1424
607	2203	1420
608	2207	1417
609	2211	1413
610	2214	1410
611	2218	1406
612	2222	1403
613	2226	1399
614	2230	1396
615	2234	1392
616	2237	1389
617	2241	1385
618	2245	1382
619	2249	1379
620	2253	1375
621	2257	1372
622	2261	1368
623	2265	1365
624	2269	1361
625	2273	1358
626	2277	1354
627	2281	1351
628	2284	1347
629	2288	1344
630	2292	1340
631	2295	1336
632	2299	1332
633	2302	1329
634	2305	1325
635	2308	1321
636	2312	1317
637	2315	1313
638	2318	1309
639	2321	1306
640	2325	1302
641	2328	1298
642	2331	1294
643	2335	1290
644	2338	1287
645	2341	1283
646	2345	1279
647	2348	1275
648	2351	1271
649	2355	1268
650	2358	1264
651	2361	1260
652	2364	1256
653	2368	1252
654	2371	1249
655	2374	1245
656	2377	1241
657	2381	1237
658	2384	1233
659	2387	1230
660	2391	1226
661	2394	1222
662	2397	1218
663	2401	1215
664	2404	1211
665	2407	1207
666	2411	1203
667	2414	1199
668	2417	1196
669	2420	1192
670	2423	1188
671	2427	1184
672	2430	1181
673	2434	1177
674	2437	1173
675	2441	1170
676	2444	1166
677	2448	1162
678	2451	1159
679	2455	1155
680	2458	1151
681	2462	1148
682	2465	1144
683	2469	1140
684	2473	1137
685	2477	1133
686	2481	1130
687	2485	1126
688	2489	1123
689	2493	1120
690	2497	1116
691	2500	1113
692	2504	1109
693	2508	1105
694	2511	1102
695	2514	1098
696	2518	1094
697	2521	1090
698	2524	1086
699	2527	1083
700	2530	1079
701	2533	1075
702	2536	1071
703	2539	1067
704	2543	1064
705	2546	1060
706	2549	1056
707	2552	1052
708	2555	1048
709	2558	1045
710	2561	1041
711	2564	1037
712	2568	1033
713	2571	1030
714	2574	1026
715	2577	1022
716	2581	1018
717	2584	1015
718	2588	1011
719	2591	1007
720	2594	1003
721	2597	1000
722	2600	996
723	2604	992
724	2607	989
725	2611	985
726	2614	981
727	2617	978
728	2621	974
729	2624	970
730	2628	967
731	2631	963
732	2634	959
733	2638	956
734	2641	952
735	2645	948
736	2648	945
737	2651	941
738	2655	937
739	2658	934
740	2661	930
741	2665	926
742	2668	922
743	2671	919
744	2674	915
745	2677	911
746	2681	908
747	2684	904
748	2688	900
749	2691	897
750	2694	893
751	2697	889
752	2700	885
753	2704	882
754	2707	878
755	2711	874
756	2714	871
757	2718	867
758	2722	864
759	2725	860
760	2729	857
761	2733	853
762	2736	849
763	2739	846
764	2743	842
765	2746	839
766	2750	835
767	2753	831
768	2756	828
769	2759	824
770	2763	820
771	2766	817
772	2769	813
773	2773	809
774	2776	806
775	2779	802
776	2782	798
777	2786	795
778	2790	791
779	2793	788
780	2797	784
781	2801	780
782	2804	777
783	2807	773
784	2811	769
785	2814	766
786	2817	762
787	2820	758
788	2823	755
789	2826	751
790	2829	747
791	2833	744
792	2836	740
793	2839	736
794	2842	733
795	2846	729
796	2849	725
797	2852	722
798	2855	718
799	2858	714
800	2861	711
801	2865	707
802	2868	703
803	2871	699
804	2874	696
805	2877	692
806	2881	689
807	2884	685
808	2887	681
809	2891	678
810	2894	674
811	2898	670
812	2901	667
813	2905	663
814	2908	660
815	2912	656
816	2915	653
817	2919	649
818	2922	645
819	2926	642
820	2930	638
821	2934	635
822	2938	631
823	2941	628
824	2945	624
825	2949	621
826	2953	617
827	2957	614
828	2961	610
829	2964	607
830	2968	603
831	2972	600
832	2975	596
833	2986	594
834	2990	590
835	2994	587
836	2998	583
837	3001	580
838	3005	576
839	3009	573
840	3013	569
841	3016	566
842	3020	562
843	3024	558
844	3027	555
845	3031	551
846	3035	548
847	3038	544
848	3042	541
849	3046	537
850	3049	533
851	3053	530
852	3056	526
853	3060	523
854	3063	519
855	3066	515
856	3069	512
857	3073	508
858	3075	504
859	3078	501
860	3081	497
861	3085	493
862	3088	490
863	3092	486
864	3095	483
865	3099	479
866	3103	476
867	3107	472
868	3111	469
869	3115	465
870	3119	461
871	3123	458
872	3126	454
873	3131	451
874	3135	447
875	3139	444
876	3143	440
877	3147	437
878	3151	433
879	3155	430
880	3159	426
881	3163	423
882	3167	419
883	3171	416
884	3175	412
885	3180	409
886	3185	405
887	3189	402
888	3194	398
889	3199	395
890	3203	391
891	3207	388
892	3212	384
893	3216	381
894	3220	377
895	3224	374
896	3228	370
897	3232	367
898	3236	363
899	3238	359
900	3242	356
901	3246	352
902	3250	349
903	3254	345
904	3258	342
905	3262	338
906	3266	334
907	3270	331
908	3275	327
909	3279	324
910	3283	320
911	3287	317
912	3291	313
913	3295	310
914	3299	306
915	3302	302
916	3307	299
917	3310	295
918	3314	292
919	3318	288
920	3321	284
921	3325	281
922	3329	277
923	3332	274
924	3336	270
925	3340	266
926	3344	263
927	3347	259
