iter	RMSE
437	186.3713535
438	186.2640461
439	186.1751545
440	186.0824345
441	185.752435
442	185.6582947
443	185.5387076
444	185.2316507
445	184.8867042
446	184.7702421
447	184.5854075
448	184.4517483
449	184.2586815
450	184.0329591
451	183.9154197
452	183.8086506
453	183.6665878
454	183.5719453
455	183.4446148
456	183.2305541
457	183.019272
458	182.9351283
459	182.6352641
460	182.4875556
461	182.3410995
462	182.115949
463	182.0066856
464	181.9219505
465	181.8660972
466	181.7591756
467	181.7041317
468	181.3969339
469	181.3108282
470	181.1661725
471	180.9056046
472	180.8185353
473	180.7638782
474	180.4114891
475	180.2124462
476	180.1580493
477	180.0125137
478	179.930497
479	179.876851
480	179.7722806
481	179.588152
482	179.5000722
483	179.4262923
484	179.3142164
485	179.2617127
486	179.1722942
487	179.0940035
488	178.9820856
489	178.8513487
490	178.7424155
491	178.6661406
492	178.6141645
493	178.3863695
494	178.2807701
495	178.2040644
496	178.0616755
497	177.9681545
498	177.8278043
499	177.7762321
500	177.665338
501	177.5868979
502	177.5358839
503	177.335119
504	177.0322857
505	176.9307832
506	176.6482662
507	176.5763194
508	176.4369934
509	176.3109091
510	176.1441389
511	176.0723468
512	176.0215754
513	175.9029288
514	175.7790451
515	175.6591491
516	175.6090937
517	175.4207331
518	175.1598817
519	175.1102858
520	175.030565
521	174.9299759
522	174.851124
523	174.7314562
524	174.6582352
525	174.5844425
526	174.4108578
527	174.3402267
528	174.1875317
529	174.0965752
530	173.9163013
531	173.8670111
532	173.7026295
533	173.6539091
534	173.5864292
535	173.4551767
536	173.4071042
537	173.2516616
538	173.180949
539	172.9269338
540	172.8200201
541	172.771898
542	172.6467272
543	172.4611095
544	172.3979445
545	172.2888938
546	172.2168365
547	172.1697188
548	172.0860892
549	172.0202366
550	171.9730294
551	171.8592454
552	171.4355943
553	171.3850725
554	171.3181068
555	171.2678518
556	171.2245143
557	171.1790157
558	171.1167364
559	171.0680209
560	170.9372421
561	170.8089575
562	170.4574406
563	170.3838694
564	170.3340215
565	170.2502689
566	170.1508757
567	169.9556135
568	169.7783263
569	169.7301812
570	169.6848748
571	169.6053267
572	169.4930387
573	169.3982059
574	169.3509351
575	169.2825545
576	169.1907063
577	169.0547524
578	169.0084095
579	168.9637776
580	168.8987164
581	168.8545321
582	168.7950484
583	168.7513921
584	168.683066
585	168.6381255
586	168.2564286
587	168.2118831
588	168.1680986
589	168.1247098
590	168.0598292
591	168.0170745
592	167.9746281
593	167.9327915
594	167.8926545
595	167.8515147
596	167.7915988
597	167.726815
598	167.6860159
599	167.5007787
600	167.4603677
601	167.4202638
602	167.3375574
603	167.2977776
604	167.2582796
605	167.1075478
606	166.9660184
607	166.8361434
608	166.7969131
609	166.7221317
610	166.6831876
611	166.430451
612	166.3797033
613	166.3180432
614	166.2006957
615	166.1403423
616	165.9146713
617	165.8484056
618	165.771449
619	165.6883483
620	165.591554
621	165.5386343
622	165.4812165
623	165.4210587
624	165.1535426
625	164.9964685
626	164.9360836
627	164.896888
628	164.8076307
629	164.7378933
630	164.6671738
631	164.534394
632	164.4129391
633	164.3763267
634	164.2663964
635	164.1016003
636	164.0419015
637	163.8206716
638	163.7820737
639	163.6932003
640	163.5555164
641	163.5152758
642	163.4591158
643	163.3026958
644	163.2680077
645	163.170203
646	163.018141
647	162.9606184
648	162.8049421
649	162.7641185
650	162.6830878
651	162.627154
652	162.5898065
653	162.5125825
654	162.3192594
655	162.2621405
656	162.2250688
657	162.0890307
658	162.0331684
659	161.8961125
660	161.8389729
661	161.6635779
662	161.5744796
663	161.5166365
664	161.3685078
665	161.3316992
666	161.2825673
667	161.0998848
668	161.0634567
669	160.8963139
670	160.7408278
671	160.495911
672	160.4384966
673	160.3996687
674	160.332901
675	160.297494
676	160.2036191
677	160.1406411
678	160.0441388
679	159.9887781
680	159.9326501
681	159.7274896
682	159.6776963
683	159.6225371
684	159.4769552
685	159.4385643
686	159.2983892
687	159.2171133
688	159.0110831
689	158.9757448
690	158.7192074
691	158.584839
692	158.469254
693	158.4099267
694	158.3460171
695	158.2747544
696	158.0381253
697	157.9135991
698	157.8755976
699	157.8246596
700	157.748334
701	157.6899459
702	157.4305988
703	157.2908626
704	157.0712942
705	156.9509219
706	156.8306828
707	156.758467
708	156.7235432
709	156.6684458
710	156.6125496
711	156.5538234
712	156.4688007
713	156.3784071
714	156.3288366
715	156.2916755
716	156.2047463
717	156.1677912
718	156.0210435
719	155.962146
720	155.9156044
721	155.8789006
722	155.5594299
723	155.4953968
724	155.4617838
725	155.4281601
726	155.394947
727	155.3439497
728	155.2953554
729	155.2331582
730	155.1972033
731	155.1640755
732	155.1311829
733	155.0468509
734	154.982763
735	154.8934523
736	154.8163511
737	154.7657206
738	154.7156887
739	154.680038
740	154.5873287
741	154.3521534
742	154.2434557
743	154.2079671
744	154.1526822
745	154.1202304
746	154.0653718
747	154.030212
748	153.9953135
749	153.94467
750	153.8784076
751	153.7322903
752	153.6882993
753	153.6534881
754	153.5819603
755	153.4969439
756	153.4432692
757	153.3262739
758	153.2717682
759	153.2244583
760	153.0087209
761	152.9228014
762	152.8876499
763	152.8531599
764	152.7339766
765	152.6469757
766	152.6127102
767	152.5785111
768	152.4266583
769	152.3927025
770	152.3588423
771	152.3277648
772	152.1725138
773	151.9995819
774	151.9252386
775	151.8749811
776	151.8090203
777	151.7753066
778	151.7210086
779	151.3928425
780	151.3375895
781	151.1988122
782	151.1651824
783	151.1317034
784	151.0029957
785	150.9517844
786	150.9074215
787	150.8603893
788	150.8269394
789	150.7816361
790	150.6459771
791	150.5934929
792	150.5384131
793	150.22847
794	150.1952119
795	149.9579299
796	149.9247775
797	149.7808937
798	149.7431787
799	149.6945338
800	149.5796293
801	149.5465737
802	149.5136909
803	149.455856
804	149.3697154
805	149.3342772
806	149.2987186
807	149.2692866
808	149.2251375
809	149.1925912
810	149.1461422
811	149.1133372
812	149.0120716
813	148.7970122
814	148.7416539
815	148.7060398
816	148.6737021
817	148.6415728
818	148.6096304
819	148.5139056
820	148.3838576
821	148.1477217
822	148.1033448
823	148.0712934
824	148.0251418
825	147.9945491
826	147.9276305
827	147.8289772
828	147.7957861
829	147.6277399
830	147.5944253
831	147.490793
832	147.4397248
833	147.311495
834	147.2796718
835	147.2501895
836	147.1422644
837	147.1100565
838	146.9995846
839	146.9477229
840	146.8655201
841	146.7534174
842	146.7212096
843	146.6114783
844	146.5697614
845	146.3733167
846	146.3016502
847	146.2086663
848	146.1643759
849	146.0842731
850	146.0527053
851	146.0215208
852	145.9026561
853	145.8549538
854	145.8228233
855	145.5835397
856	145.4024209
857	145.3643171
858	145.2587321
859	145.1741512
860	144.9711905
861	144.9402619
862	144.7863509
863	144.7319599
864	144.6862792
865	144.5261201
866	144.4754395
867	144.4424771
868	144.4075346
869	144.3384293
870	144.2795978
871	144.2053644
872	144.1751983
873	144.145221
874	144.1019585
875	144.0697519
876	144.0394047
877	144.0067575
878	143.9339356
879	143.8901566
880	143.8455764
881	143.7448117
882	143.6696045
883	143.5866171
884	143.5293052
885	143.407785
886	143.3777392
887	143.2741108
888	143.172828
889	143.1408479
890	143.1100978
891	143.0788695
892	143.0451268
893	143.0160894
894	142.9863055
895	142.9427878
896	142.9120568
897	142.8815818
898	142.8532867
899	142.8228506
900	142.7824735
901	142.7155201
902	142.6682106
903	142.6412078
904	142.5674691
905	142.5173693
906	142.3828508
907	142.3170268
908	142.2872294
909	142.2434446
910	142.2139407
911	142.169345
912	142.1399934
913	142.1045071
914	142.0764238
915	141.9997002
916	141.9706074
917	141.8195178
918	141.7157244
919	141.5259077
920	141.4794318
921	141.4506585
922	141.4213012
923	141.3929686
924	141.3450893
925	141.3155118
926	141.2849194
927	141.2406807
928	141.2136456
929	141.18545
930	140.9804691
931	140.9401439
932	140.9118477
933	140.8074589
934	140.7434703
935	140.6453231
936	140.6171122
937	140.3527041
938	140.324526
939	140.2975981
940	140.2604251
941	140.2323777
942	140.1862646
943	140.1578276
944	140.0920384
945	140.0638571
946	140.0166604
947	139.9924162
948	139.9523771
949	139.8543707
950	139.8163958
951	139.7756713
952	139.7313416
953	139.6552759
954	139.4930559
955	139.4550034
956	139.3952954
957	139.2484543
958	139.2193058
959	139.05749
960	139.0019528
961	138.8702359
962	138.7547831
963	138.7268333
964	138.6856609
965	138.6591565
966	138.5501827
967	138.3927937
968	138.334643
969	138.3074885
970	138.2635313
971	138.2349532
972	138.2077187
973	138.1397668
974	138.1130473
975	138.0849614
976	138.057806
977	138.0300893
978	138.0043264
979	137.9445578
980	137.8407285
981	137.7997485
982	137.7173091
983	137.6549047
984	137.5984107
985	137.5711161
986	137.5213493
987	137.494977
988	137.4681666
989	137.3843788
990	137.3223312
991	137.2957222
992	137.1982231
993	137.1707857
994	137.1313395
995	137.0329098
996	136.9962274
997	136.9594837
998	136.93261
999	136.8333956
